word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
lifted,7.05882352941176,6,2,6,2,3,1.85,1.9,417,1,0,25
lifting,4.33333333333333,7,2,6,1,2,1.85,1.9,836,0,0,24
lifts,2.37254901960784,5,1,5,2,3,1.85,1.8,119,0,0,36
light,165.196078431373,5,1,3,7,30,1.35,1,62,0,0,47
lighted,1.09803921568627,7,2,5,3,2,1.75,1.55,507,1,0,8
lighten,5.90196078431373,7,2,5,3,4,1.8,1.7,218,0,0,6
lighter,8.96078431372549,7,2,4,4,10,1.7,1,393,0,0,29
lighthouse,3.07843137254902,10,2,6,0,0,3.8,3.15,62,0,0,1
lighting,6.33333333333333,8,2,5,2,8,2.25,1.3,872,0,0,10
lightly,4.6078431372549,7,2,5,3,6,2,1.6,148,0,0,7
lightning,14.1372549019608,9,2,6,0,0,2.75,2.15,496,0,0,2
lights,56.4117647058824,6,1,4,6,16,1.65,1.15,162,0,0,21
lightweight,1.15686274509804,11,2,6,0,0,4.8,3.3,29,0,0,6
like,3998.96078431373,4,1,3,12,26,1.15,1,62,0,0,11
liked,78.7647058823529,5,1,4,3,7,1.6,1.7,141,0,0,6
likelihood,1.13725490196078,10,3,8,1,1,4.7,4.75,54,0,0,1
likely,25.7647058823529,6,2,5,1,2,2,1.9,145,0,0,5
likeness,1.92156862745098,8,2,6,0,0,2.8,1.9,192,0,0,3
likes,76.2549019607843,5,1,4,6,12,1.65,1.65,214,0,0,7
likewise,3.56862745098039,8,2,6,0,0,3.45,3.2,90,0,0,3
liking,6.27450980392157,6,2,5,4,10,1.7,1.65,314,0,0,6
lilies,1.90196078431373,6,2,5,0,0,2,1.85,303,0,0,1
lily,26.8627450980392,4,2,4,2,18,1.8,1.4,67,0,1,1
limb,4.66666666666667,4,1,3,5,22,1.65,1,47,0,0,6
limbo,2.37254901960784,5,2,5,3,1,1.95,2.3,68,0,0,3
limbs,2.58823529411765,5,1,4,2,5,1.75,1.5,72,0,0,6
lime,3.29411764705882,4,1,3,13,17,1.2,1,57,0,0,8
limit,13.0196078431373,5,2,5,0,0,1.95,1.9,65,0,0,9
limitations,2.05882352941176,11,4,10,0,0,2.65,2.75,170,0,0,5
limited,11,7,3,7,0,0,2.55,2.55,487,1,0,11
limits,7.19607843137255,6,2,6,0,0,2.3,2,161,1,0,9
limousine,2.82352941176471,9,3,7,0,0,3.85,2.9,344,0,0,1
limp,3.66666666666667,4,1,4,8,7,1.45,1.4,57,0,0,5
limping,1.13725490196078,7,2,6,1,1,1.95,1.9,812,0,0,3
line,206.176470588235,4,1,3,18,32,1,1,106,0,0,36
